# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 27, 2025100500, 03, FNV3,  18, 218N, 1086E,  69,  978, XX,  50, NEQ,   54,   45,   36,   46,     ,     ,  18,
WP, 27, 2025100500, 03, FNV3,  18, 218N, 1086E,  69,  978, XX,  64, NEQ,   20,   17,   13,   16,     ,     ,  18,
WP, 27, 2025100500, 03, FNV3,  24, 223N, 1076E,  51,  989, XX,  34, NEQ,   87,   72,   57,   73,     ,     ,  25,
WP, 27, 2025100500, 03, FNV3,  24, 223N, 1076E,  51,  989, XX,  50, NEQ,   15,   11,    8,   10,     ,     ,  25,
WP, 27, 2025100500, 03, FNV3,  24, 223N, 1076E,  51,  989, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  25,
WP, 27, 2025100500, 03, FNV3,  30, 227N, 1067E,  37,  997, XX,  34, NEQ,   48,   41,   31,   39,     ,     ,  27,
WP, 27, 2025100500, 03, FNV3,  30, 227N, 1067E,  37,  997, XX,  50, NEQ,    0,    0,    0,    1,     ,     ,  27,
WP, 27, 2025100500, 03, FNV3,  36, 230N, 1057E,  27, 1001, XX,  34, NEQ,    1,    1,    0,    1,     ,     ,  31,
WP, 27, 2025100500, 03, FNV3,  42, 234N, 1047E,  23, 1004, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  42,
WP, 27, 2025100500, 03, FNV3,  48, 237N, 1036E,  21, 1005, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  41,
WP, 28, 2025100500, 03, FNV3,   0, 248N, 1427E,  35,  997, XX,  34, NEQ,   60,   50,   35,   45,     ,     ,  30,
WP, 28, 2025100500, 03, FNV3,   6, 249N, 1428E,  47,  992, XX,  34, NEQ,   57,   46,   33,   42,     ,     ,  27,
WP, 28, 2025100500, 03, FNV3,   6, 249N, 1428E,  47,  992, XX,  50, NEQ,    7,    3,    2,    3,     ,     ,  27,
WP, 28, 2025100500, 03, FNV3,  12, 250N, 1425E,  54,  987, XX,  34, NEQ,   80,   68,   52,   66,     ,     ,  24,
WP, 28, 2025100500, 03, FNV3,  12, 250N, 1425E,  54,  987, XX,  50, NEQ,   20,   12,    8,   11,     ,     ,  24,
WP, 28, 2025100500, 03, FNV3,  12, 250N, 1425E,  54,  987, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  24,
WP, 28, 2025100500, 03, FNV3,  18, 252N, 1420E,  59,  983, XX,  34, NEQ,   87,   70,   54,   74,     ,     ,  19,
WP, 28, 2025100500, 03, FNV3,  18, 252N, 1420E,  59,  983, XX,  50, NEQ,   34,   25,   17,   24,     ,     ,  19,
WP, 28, 2025100500, 03, FNV3,  18, 252N, 1420E,  59,  983, XX,  64, NEQ,    4,    2,    2,    2,     ,     ,  19,
WP, 28, 2025100500, 03, FNV3,  24, 255N, 1415E,  63,  982, XX,  34, NEQ,   91,   72,   57,   79,     ,     ,  19,
WP, 28, 2025100500, 03, FNV3,  24, 255N, 1415E,  63,  982, XX,  50, NEQ,   38,   27,   19,   28,     ,     ,  19,
